--- base_link Visuals sorted by Max Z ---
Mesh: _3D_ELVM6040V48EH_M17_HD_47.stl     | Visual: 73  | Z bounds: [-0.1156, -0.1117] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_13.stl     | Visual: 104 | Z bounds: [-0.1156, -0.1117] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_50.stl     | Visual: 76  | Z bounds: [-0.1159, -0.1114] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_10.stl     | Visual: 98  | Z bounds: [-0.1159, -0.1114] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_53.stl     | Visual: 79  | Z bounds: [-0.1166, -0.1106] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_7.stl      | Visual: 89  | Z bounds: [-0.1166, -0.1106] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_40.stl     | Visual: 66  | Z bounds: [-0.1050, -0.1011] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_9.stl      | Visual: 90  | Z bounds: [-0.1050, -0.1011] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_54.stl     | Visual: 80  | Z bounds: [-0.1053, -0.1008] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_25.stl     | Visual: 114 | Z bounds: [-0.1053, -0.1008] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_38.stl     | Visual: 64  | Z bounds: [-0.1060, -0.1000] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD.stl        | Visual: 125 | Z bounds: [-0.1060, -0.1000] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_19.stl     | Visual: 45  | Z bounds: [-0.1028, -0.0973] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_34.stl     | Visual: 60  | Z bounds: [-0.1028, -0.0973] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_22.stl     | Visual: 128 | Z bounds: [-0.1028, -0.0973] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_30.stl     | Visual: 131 | Z bounds: [-0.1028, -0.0973] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_24.stl     | Visual: 50  | Z bounds: [-0.1013, -0.0968] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_36.stl     | Visual: 62  | Z bounds: [-0.1003, -0.0958] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_29.stl     | Visual: 97  | Z bounds: [-0.1003, -0.0958] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_14.stl     | Visual: 107 | Z bounds: [-0.0993, -0.0948] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_20.stl     | Visual: 117 | Z bounds: [-0.1089, -0.0914] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_37.stl     | Visual: 84  | Z bounds: [-0.1115, -0.0904] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_49.stl     | Visual: 108 | Z bounds: [-0.1115, -0.0894] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_11.stl     | Visual: 129 | Z bounds: [-0.1094, -0.0893] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_51.stl     | Visual: 77  | Z bounds: [-0.0929, -0.0871] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_43.stl     | Visual: 69  | Z bounds: [-0.0919, -0.0861] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_43.stl     | Visual: 106 | Z bounds: [-0.0919, -0.0861] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_45.stl     | Visual: 103 | Z bounds: [-0.1029, -0.0860] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_8.stl      | Visual: 111 | Z bounds: [-0.1160, -0.0854] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_1.stl      | Visual: 27  | Z bounds: [-0.0947, -0.0853] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_51.stl     | Visual: 83  | Z bounds: [-0.0909, -0.0851] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_33.stl     | Visual: 113 | Z bounds: [-0.0975, -0.0850] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_2.stl      | Visual: 130 | Z bounds: [-0.1120, -0.0847] | XYZ: [-0.0512126, 0.0846082, -0.22735]
Mesh: _3D_ELVM6040V48EH_M17_HD_28.stl     | Visual: 54  | Z bounds: [-0.0954, -0.0846] | XYZ: [0.137884, 0.0846082, 0.0492947]
Mesh: _3D_ELVM6040V48EH_M17_HD_39.stl     | Visual: 65  | Z bounds: [-0.0937, -0.0843] | XYZ: [0.137884, 0.0846082, 0.0492947]
